id,key,name,type,category,vendor,url,scope_url,topics,evidence_note,checked_at,pass_rate,pass_rate_period,pass_rate_url,pass_rate_checked_at
11,cisco-ccna-automation,Cisco Certified Network Associate (CCNA) Automation,資格,プログラミング,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/automation/ccna-automation/index.html,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/automation/ccna-automation/index.html,プログラミング|ソフトウェア開発|ネットワーク基礎|自動化|セキュリティ基礎,Cisco公式ページは、Python・Git・データ形式、API、Cisco上の開発、セキュアなアプリ展開、ワークフロー自動化、ネットワーク基礎を扱う。,2026-07-30,,,,
12,cisco-ccnp-automation,Cisco Certified Network Professional (CCNP) Automation,資格,プログラミング,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/automation/ccnp-automation/index.html,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/automation/ccnp-automation/index.html,プログラミング|ソフトウェア開発|DevOps|自動化|ネットワーク基礎|セキュリティ基礎,Cisco公式ページは、Ciscoプラットフォーム上のアプリ開発・保守、API、セキュアな展開、ネットワーク自動化とプログラマビリティを扱う。,2026-07-30,,,,
13,cncf_ckad,Certified Kubernetes Application Developer (CKAD),資格,プログラミング,CNCF / Linux Foundation,https://training.linuxfoundation.org/certification/certified-kubernetes-application-developer-ckad/,https://training.linuxfoundation.org/certification/certified-kubernetes-application-developer-ckad/,コンテナ|ソフトウェア開発|DevOps|ネットワーク基礎|クラウドセキュリティ,公式領域はアプリの設計・ビルド・配備、可観測性、構成とセキュリティ、サービスとネットワークである。,2026-07-30,,,,
14,gcp-professional-cloud-developer,Professional Cloud Developer,資格,プログラミング,Google Cloud,https://cloud.google.com/learn/certification/cloud-developer/,https://services.google.com/fh/files/misc/professional_cloud_developer_exam_guide_english.pdf,プログラミング|ソフトウェア開発|クラウド設計|クラウドセキュリティ|DevOps|コンテナ|データベース,公式ガイドは、クラウドネイティブアプリの設計、構築・テスト、Cloud Run/GKEへの展開、データ・API統合、観測性を扱う。,2026-07-30,,,,
15,oracle_java21,Oracle Certified Professional: Java SE 21 Developer,資格,プログラミング,Oracle,https://education.oracle.com/outrackpath-trackp_jse21ocp/trackp_JSE21OCP,https://education.oracle.com/ja/java-se-17-programmer-i/pexam_1Z0-830,プログラミング|OOP|ソフトウェア開発,Oracle公式の1Z0-830はJava SE 21の言語機能とAPIを用いる開発者の技能を検証する試験として案内されている。,2026-07-30,,,,
16,oracle_java25,Oracle Certified Professional: Java SE 25 Developer,資格,プログラミング,Oracle,https://education.oracle.com/zh_TW/outrackpath-trackp_jse25ocp/trackp_JSE25OCP,https://education.oracle.com/pt_BR/ouexam-pexam_1z0-831/pexam_1Z0-831,プログラミング|OOP|ソフトウェア開発,Oracle公式の1Z0-831はJava SE 25の開発スキルと専門知識を検証する現行Developer Professional試験である。,2026-07-30,,,,
17,c_programming_grade1,C言語プログラミング能力認定試験 1級,資格,プログラミング,サーティファイ情報処理能力認定委員会,https://www.sikaku.gr.jp/js/cpjv/cp/,https://www.sikaku.gr.jp/js/cpjv/cp/introduction/range/,プログラミング|ソフトウェア開発|アルゴリズム,公式範囲は、公開テーマプログラムに対する仕様変更・追加、コーディング、コンパイル、デバッグ及び変更仕様書作成の実技を対象としている。,2026-07-30,,,,
18,c_programming_grade2,C言語プログラミング能力認定試験 2級,資格,プログラミング,サーティファイ情報処理能力認定委員会,https://www.sikaku.gr.jp/js/cpjv/cp/,https://www.sikaku.gr.jp/js/cpjv/cp/introduction/range/02/,プログラミング|アルゴリズム|ソフトウェア開発,公式範囲は、C言語の基本範囲に加えて、ポインタ、構造体、ファイル処理、プリプロセッサ及び応用的なプログラム作成を対象としている。,2026-07-30,,,,
19,c_programming_grade3,C言語プログラミング能力認定試験 3級,資格,プログラミング,サーティファイ情報処理能力認定委員会,https://www.sikaku.gr.jp/js/cpjv/cp/,https://www.sikaku.gr.jp/js/cpjv/cp/introduction/range/03/,プログラミング|アルゴリズム,公式範囲は、C言語の定数・型・演算子、制御文、配列、関数及び基本的なプログラム読解・作成を対象としている。,2026-07-30,,,,
20,ruby_gold_v3,Ruby Association Certified Ruby Programmer Gold version 3,資格,プログラミング,一般財団法人Rubyアソシエーション,https://www.ruby.or.jp/ja/certification/examination/,https://www.ruby.or.jp/en/certification/examination/,プログラミング|OOP|ソフトウェア開発,公式試験説明は、Silverの範囲を前提に、Ruby 3.1系の高度な文法、オブジェクト指向、メタプログラミング及びライブラリを対象としている。,2026-07-30,,,,
21,ruby_silver_v3,Ruby Association Certified Ruby Programmer Silver version 3,資格,プログラミング,一般財団法人Rubyアソシエーション,https://www.ruby.or.jp/ja/certification/examination/,https://www.ruby.or.jp/en/certification/examination/,プログラミング|OOP|ソフトウェア開発,公式試験説明は、Ruby 3.1系の背景、文法、クラス、オブジェクト、組込みライブラリ及び標準ライブラリの基礎を対象としている。,2026-07-30,,,,
22,jken_system_programming,情報検定（J検）情報システム試験 プログラミングスキル,資格,プログラミング,一般財団法人職業教育・キャリア教育財団,https://jken.sgec.or.jp/information/jsystem/,https://jken.sgec.or.jp/common/pdf/information/jsystem_programming.pdf,アルゴリズム|プログラミング|ソフトウェア開発,公式範囲は、配列・リスト・木等のデータ構造、探索・整列・再帰等のアルゴリズム、計算量、擬似言語実装及びテストを対象としている。,2026-07-30,47.4,令和7年度（2025年度）,https://jken.sgec.or.jp/data/,2026-08-30
23,php8_basic,PHP8技術者認定初級試験,資格,プログラミング,一般社団法人PHP技術者認定機構,https://www.phpexam.jp/summary/novice8,https://www.phpexam.jp/summary/novice8,プログラミング|OOP|Web|データベース,公式範囲は、PHPの基本、演算子、制御構文、関数、標準クラス、リクエスト、データベース連携及びオブジェクト指向構文を対象としている。,2026-07-30,63.6,2025年9月の公式発表,https://www.phpexam.jp/archives/4707,2026-08-30
24,php8_advanced,PHP8技術者認定上級／準上級試験,資格,プログラミング,一般社団法人PHP技術者認定機構,https://www.phpexam.jp/summary/expert8,https://www.phpexam.jp/summary/expert8,プログラミング|OOP|Web|データベース|SQL|セキュリティ基礎,公式範囲は、PHP 8の言語仕様、クラスとオブジェクト、Web処理、データベース、セキュリティ及び各種標準機能を対象としている。,2026-07-30,,,,
25,python_basic,Python 3 エンジニア認定基礎試験,資格,プログラミング,一般社団法人Pythonエンジニア育成推進協会,https://www.pythonic-exam.com/exam/basic,https://www.pythonic-exam.com/exam/basic,プログラミング|OOP,公式範囲は、Pythonの基本文法、制御構造、データ構造、モジュール、入出力、例外、クラス及び標準ライブラリを対象としている。,2026-07-30,76,2024年2月末時点の公式集計,https://pythonic-exam.com/archives/7533,2026-08-30
26,python_practical,Python3 エンジニア認定実践試験,資格,プログラミング,一般社団法人Pythonエンジニア育成推進協会,https://www.pythonic-exam.com/exam/jissen,https://www.pythonic-exam.com/exam/jissen,プログラミング|OOP|ソフトウェア開発|アルゴリズム|OS,公式範囲は、Pythonの言語仕様・クラス・型、データ型とアルゴリズム、OSサービス、テスト、デバッグ及び標準ライブラリの実践利用を対象としている。,2026-07-30,48.6,2024年2月末時点の公式集計,https://pythonic-exam.com/archives/7533,2026-08-30
27,html5_level1,HTML5プロフェッショナル認定試験 レベル1,資格,Web,LPI-Japan（一般社団法人EDUCO）,https://html5exam.jp/outline/lv1.html,https://html5exam.jp/outline/objectives_lv1.html,Web|プログラミング|ネットワーク基礎,公式範囲は、HTML/CSSによるマークアップとスタイル、レスポンシブWeb、Webプロトコル、APIの基礎及びJavaScriptの基礎を対象としている。,2026-07-30,,,,
28,html5_level2,HTML5プロフェッショナル認定試験 レベル2,資格,Web,LPI-Japan（一般社団法人EDUCO）,https://html5exam.jp/outline/lv2.html,https://html5exam.jp/outline/objectives_lv2.html,Web|プログラミング|OOP|ソフトウェア開発,公式範囲は、JavaScript、イベント、通信、ストレージ、マルチメディア、デバイスアクセス、パフォーマンス及びオフラインWebアプリケーションを対象としている。,2026-07-30,,,,
29,webdesign_grade1,ウェブデザイン技能検定 1級,資格,Web,特定非営利活動法人インターネットスキル認定普及協会,https://www.webdesign.gr.jp/,https://www.webdesign.gr.jp/application/items/,Web|プログラミング|ソフトウェア開発|システム設計|セキュリティ基礎,公式試験細目は、Webサイトの設計・計画、情報デザイン、コーディング、スクリプト・サーバーサイドアプリケーション、運用管理及び実技を対象としている。,2026-07-30,,,,
30,webdesign_grade2,ウェブデザイン技能検定 2級,資格,Web,特定非営利活動法人インターネットスキル認定普及協会,https://www.webdesign.gr.jp/,https://www.webdesign.gr.jp/application/items/,Web|プログラミング|ソフトウェア開発|セキュリティ基礎,公式試験細目は、Webサイトの設計・構築、HTML/CSS、画像・マルチメディア、スクリプト、サーバーサイド処理、アクセシビリティ及び運用を対象としている。,2026-07-30,,,,
31,webdesign_grade3,ウェブデザイン技能検定 3級,資格,Web,特定非営利活動法人インターネットスキル認定普及協会,https://www.webdesign.gr.jp/,https://www.webdesign.gr.jp/application/items/,Web|プログラミング|ソフトウェア開発,公式試験細目は、インターネット概論、Webサイト構築、HTML/CSS等によるデザイン作業及び運用管理の基礎を対象としている。,2026-07-30,,,,
32,comptia-linux-xk0-006,CompTIA Linux+,資格,Linux,CompTIA,https://www.comptia.org/ja-jp/certifications/v8/,https://www.comptia.org/ja-jp/certifications/v8/,Linux|OS|セキュリティ運用|自動化|コンテナ,CompTIA公式ページは、クラウド・ハイブリッド環境でのLinux管理、セキュリティ、障害対応、自動化、コンテナとオーケストレーションを扱う。,2026-07-30,,,,
33,linuc_1,LinuCレベル1,資格,Linux,LPI-Japan（一般社団法人EDUCO）,https://linuc.org/linuc1/,https://linuc.org/linuc1/range/,Linux|OS|ネットワーク基礎|セキュリティ基礎|コンテナ,公式範囲は、Linuxの導入・基本操作、GNU/Unixコマンド、シェル、ネットワーク基礎、システム管理、サービス及びセキュリティを対象としている。,2026-07-30,,,,
34,linuc_2,LinuCレベル2,資格,Linux,LPI-Japan（一般社団法人EDUCO）,https://linuc.org/linuc2/,https://linuc.org/linuc2/range/,Linux|OS|ネットワーク設計|セキュリティ運用|コンテナ,公式範囲は、Linuxカーネル、ストレージ、高度なネットワーク、保守運用、DNS・Web・ファイル共有等のサーバー、仮想化及びコンテナを対象としている。,2026-07-30,,,,
35,linuc_3ps,LinuCレベル3 プラットフォームスペシャリスト,資格,Linux,LPI-Japan（一般社団法人EDUCO）,https://linuc.org/linuc3/3ps/,https://linuc.org/linuc3/3ps/range/,Linux|コンテナ|自動化|DevOps|システム設計|ネットワーク設計,公式3PS範囲は、仮想化基盤、ネットワーク・ストレージ、コンテナ、高可用性、IaC、継続的デプロイ、監視及びバックアップを対象としている。,2026-07-30,,,,
36,aws-ans-c01,AWS Certified Advanced Networking - Specialty,資格,ネットワーク,Amazon Web Services,https://aws.amazon.com/certification/certified-advanced-networking-specialty/,https://docs.aws.amazon.com/aws-certification/latest/advanced-networking-specialty-01/advanced-networking-specialty-01.html,ネットワーク設計|ルーティング・スイッチング|クラウド設計|クラウドセキュリティ|クラウド運用,ANS-C01公式ガイドは、大規模なAWS・ハイブリッドネットワークの設計、実装、管理・運用、セキュリティとコンプライアンスを扱う。,2026-07-30,,,,
37,cisco-ccnp-wireless,CCNP Wireless,資格,ネットワーク,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/wireless/ccnp-wireless/index.html,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/wireless/ccnp-wireless/index.html,無線|ネットワーク設計|ネットワーク基礎,Cisco公式ページは、現代的な無線ネットワークの設計、実装、管理に関する高度な知識と実務スキルを対象としている。,2026-07-30,,,,
38,cisco-ccna,Cisco Certified Network Associate (CCNA),資格,ネットワーク,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/enterprise/ccna/index.html,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/enterprise/ccna/index.html,ネットワーク基礎|ルーティング・スイッチング|無線|セキュリティ基礎|自動化,Cisco公式範囲は、ネットワーク基礎、ネットワークアクセス、IP接続・サービス、セキュリティ基礎、自動化とプログラマビリティを扱う。,2026-07-30,,,,
39,cisco-ccnp-enterprise,Cisco Certified Network Professional (CCNP) Enterprise,資格,ネットワーク,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/enterprise/ccnp-enterprise/index.html,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/enterprise/ccnp-enterprise/index.html,ネットワーク設計|ルーティング・スイッチング|無線|セキュリティ基礎|自動化,Cisco公式範囲は、エンタープライズネットワークのアーキテクチャ、仮想化、インフラ、保証、セキュリティ、自動化を扱う。,2026-07-30,,,,
40,cisco-ccnp-service-provider,Cisco Certified Network Professional (CCNP) Service Provider,資格,ネットワーク,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/service-provider/ccnp-service-provider/index.html,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/service-provider/ccnp-service-provider/index.html,ネットワーク設計|ルーティング・スイッチング|自動化,Cisco公式ページは、次世代サービスプロバイダーIPネットワーク基盤の構成、検証、最適化を対象としている。,2026-07-30,,,,
41,cisco-ccst-networking,Cisco Certified Support Technician (CCST) Networking,資格,ネットワーク,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/support-technician/index.html,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/support-technician/index.html,ネットワーク基礎|セキュリティ基礎,Cisco公式ページは、ネットワーク通信を成立させるデバイス、媒体、プロトコルなどの入門ネットワーク知識とスキルを対象としている。,2026-07-30,,,,
42,comptia-cloudnetx-cnx-001,CompTIA CloudNetX,資格,ネットワーク,CompTIA,https://www.comptia.org/en-us/certifications/cloudnetx/,https://www.comptia.org/en-us/certifications/cloudnetx/,ネットワーク設計|クラウド設計|クラウドセキュリティ|クラウド運用|自動化,CNX-001公式範囲は、オンプレミスとクラウドをまたぐ安全なネットワーク設計・構成、監視、自動化、障害対応と保守を扱う。,2026-07-30,,,,
43,comptia-network-n10-009,CompTIA Network+,資格,ネットワーク,CompTIA,https://www.comptia.org/ja-jp/certifications/network/,https://www.comptia.org/ja-jp/certifications/network/,ネットワーク基礎|ルーティング・スイッチング|無線|ネットワーク設計|セキュリティ基礎,CompTIA公式ページは、各種ネットワークの接続、構成、運用、管理、セキュリティ維持をベンダーニュートラルに扱う。,2026-07-30,,,,
44,gcp-professional-cloud-network-engineer,Professional Cloud Network Engineer,資格,ネットワーク,Google Cloud,https://cloud.google.com/learn/certification/cloud-network-engineer/,https://services.google.com/fh/files/misc/042426_professional_cloud_network_engineer_exam_guide_english.pdf,ネットワーク設計|ルーティング・スイッチング|クラウド設計|クラウド運用|クラウドセキュリティ,公式ガイドは、VPC設計・実装、ルーティングと管理サービス、ハイブリッド・マルチクラウド接続、監視・障害対応、ネットワークセキュリティを扱う。,2026-07-30,,,,
45,ms_az700,Microsoft Certified: Azure Network Engineer Associate,資格,ネットワーク,Microsoft,https://learn.microsoft.com/en-us/credentials/certifications/azure-network-engineer-associate/,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/az-700,ネットワーク基礎|ネットワーク設計|ルーティング・スイッチング|クラウド運用|クラウドセキュリティ,AZ-700公式ガイドはコアネットワーク、ハイブリッド接続、アプリケーション配信、Azureサービスへのプライベート接続を測定する。,2026-07-30,,,,
46,ipa_nw,ネットワークスペシャリスト試験,資格,ネットワーク,独立行政法人情報処理推進機構（IPA）,https://www.ipa.go.jp/shiken/kubun/nw.html,https://www.ipa.go.jp/shiken/syllabus/gaiyou.html,ネットワーク基礎|ルーティング・スイッチング|ネットワーク設計|無線|セキュリティ基礎,公式の対象者像・シラバスは、ネットワーク方式・構成設計、プロトコル、信頼性、性能、セキュリティ及び運用を対象としている。,2026-07-30,17.8,令和7年度春期,https://www.ipa.go.jp/news/2025/shiken_20250703.html,2026-08-30
47,aws-scs-c03,AWS Certified Security - Specialty,資格,セキュリティ,Amazon Web Services,https://aws.amazon.com/certification/certified-security-specialty/,https://docs.aws.amazon.com/aws-certification/latest/security-specialty-03/security-specialty-03.html,クラウドセキュリティ|ID・アクセス管理|セキュリティ運用|インシデント対応|暗号|リスク管理|ガバナンス,SCS-C03公式ガイドは、脅威検出、インシデント対応、インフラ・データ・IDの保護、セキュリティ基盤管理、ガバナンスを扱う。,2026-07-30,,,,
48,cisco-ccna-cybersecurity,Cisco Certified Network Associate (CCNA) Cybersecurity,資格,セキュリティ,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/cybersecurity/ccna-cybersecurity/index.html,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/cybersecurity/ccna-cybersecurity/index.html,セキュリティ基礎|セキュリティ運用|インシデント対応|ネットワーク基礎,Cisco公式ページは、セキュリティ概念、監視、ホスト分析、ネットワーク侵入分析と、脅威の検知・対応を対象としている。,2026-07-30,,,,
49,cisco-ccnp-cybersecurity,Cisco Certified Network Professional (CCNP) Cybersecurity,資格,セキュリティ,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/cybersecurity/ccnp-cybersecurity/index.html,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/cybersecurity/ccnp-cybersecurity/index.html,セキュリティ運用|インシデント対応|リスク管理|自動化|クラウドセキュリティ,Cisco公式ページは、攻撃防止、インシデント対応、クラウド保護、脅威分析、侵害調査、脆弱性緩和、セキュリティ自動化を扱う。,2026-07-30,,,,
50,cisco-ccnp-security,Cisco Certified Network Professional (CCNP) Security,資格,セキュリティ,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/security/ccnp-security/index.html,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/security/ccnp-security/index.html,セキュリティ運用|ID・アクセス管理|ネットワーク設計|クラウドセキュリティ|自動化,Cisco公式ページは、ネットワーク・クラウドセキュリティ、セキュアアクセス、可視性と実施、コンテンツセキュリティ、自動化を扱う。,2026-07-30,,,,
51,cisco-ccst-cybersecurity,Cisco Certified Support Technician (CCST) Cybersecurity,資格,セキュリティ,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/support-technician/index.html,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/support-technician/index.html,セキュリティ基礎|ネットワーク基礎|リスク管理|インシデント対応,Cisco公式ページは、セキュリティ原則、ネットワーク・エンドポイント防御、脆弱性評価とリスク管理、インシデント対応を対象としている。,2026-07-30,,,,
52,cncf_cks,Certified Kubernetes Security Specialist (CKS),資格,セキュリティ,CNCF / Linux Foundation,https://training.linuxfoundation.org/certification/certified-kubernetes-security-specialist/,https://training.linuxfoundation.org/certification/certified-kubernetes-security-specialist/,コンテナ|クラウドセキュリティ|ID・アクセス管理|セキュリティ運用|インシデント対応,公式領域はクラスタ／OSの堅牢化、マイクロサービス脆弱性、供給網、監視・ログ・実行時セキュリティで、CKA合格が前提である。,2026-07-30,,,,
53,cncf_kcsa,Kubernetes and Cloud Native Security Associate (KCSA),資格,セキュリティ,CNCF / Linux Foundation,https://training.linuxfoundation.org/certification/kubernetes-and-cloud-native-security-associate-kcsa/,https://training.linuxfoundation.org/certification/kubernetes-and-cloud-native-security-associate-kcsa/,セキュリティ基礎|クラウドセキュリティ|コンテナ|ID・アクセス管理|セキュリティ運用,公式領域はクラウドネイティブセキュリティ、Kubernetes各コンポーネント、認証・認可・Secrets、脅威モデル、コンプライアンスを含む。,2026-07-30,,,,
54,comptia-cysa-cs0-003,CompTIA CySA+,資格,セキュリティ,CompTIA,https://www.comptia.org/ja-jp/certifications/cybersecurity-analyst/v3/,https://www.comptia.org/ja-jp/certifications/cybersecurity-analyst/v3/,セキュリティ運用|インシデント対応|リスク管理|データ分析,CompTIA公式ページは、脅威の検知・分析・阻止、脆弱性管理、セキュリティツールとデータの分析、インシデント対応を扱う。,2026-07-30,,,,
55,comptia-pentest-pt0-003,CompTIA PenTest+,資格,セキュリティ,CompTIA,https://www.comptia.org/ja-jp/certifications/pentest/,https://www.comptia.org/ja-jp/certifications/pentest/,セキュリティ運用|リスク管理|Web|クラウドセキュリティ,CompTIA公式ページは、クラウド、Webアプリ、API、IoTを含むペネトレーションテスト工程と、リスク発見・報告を扱う。,2026-07-30,,,,
56,comptia-secai-cy0-001,CompTIA SecAI+,資格,セキュリティ,CompTIA,https://www.comptia.org/en-us/certifications/secai/,https://www.comptia.org/en-us/certifications/secai/,AI基礎|機械学習|生成AI|セキュリティ運用|リスク管理|ガバナンス|自動化,CY0-001公式範囲は、サイバーセキュリティに関するAI基礎、AIシステムの保護、AI支援セキュリティ、AIのガバナンス・リスク・コンプライアンスを扱う。,2026-07-30,,,,
57,comptia-security-sy0-701,CompTIA Security+,資格,セキュリティ,CompTIA,https://www.comptia.org/ja-jp/certifications/security/,https://www.comptia.org/ja-jp/certifications/security/,セキュリティ基礎|ID・アクセス管理|暗号|リスク管理|セキュリティ運用|インシデント対応|ガバナンス,SY0-701公式範囲は、一般セキュリティ概念、脅威と緩和、セキュリティアーキテクチャ、運用、プログラム管理と監督を扱う。,2026-07-30,,,,
58,comptia-securityx-cas-005,CompTIA SecurityX,資格,セキュリティ,CompTIA,https://www.comptia.org/en-us/certifications/securityx/,https://www.comptia.org/en-us/certifications/securityx/,システム設計|クラウドセキュリティ|セキュリティ運用|インシデント対応|暗号|リスク管理|ガバナンス,CAS-005公式範囲は、企業セキュリティアーキテクチャとエンジニアリング、運用、リスク・ガバナンス・コンプライアンスを扱う。,2026-07-30,,,,
59,gcp-professional-cloud-security-engineer,Professional Cloud Security Engineer,資格,セキュリティ,Google Cloud,https://cloud.google.com/learn/certification/cloud-security-engineer/,https://services.google.com/fh/files/misc/professional_cloud_security_engineer_exam_guide_english.pdf,クラウドセキュリティ|ID・アクセス管理|ネットワーク設計|暗号|セキュリティ運用|自動化|ガバナンス,公式ガイドは、IDとアクセス、通信・境界防御、データ保護、セキュリティ運用、コンプライアンスを扱い、AIとサプライチェーン保護も含む。,2026-07-30,,,,
60,gcp-professional-security-operations-engineer,Professional Security Operations Engineer,資格,セキュリティ,Google Cloud,https://cloud.google.com/learn/certification/security-operations-engineer,https://services.google.com/fh/files/misc/professional_security_operations_engineer_exam_guide_english.pdf,セキュリティ運用|インシデント対応|データ分析|自動化|リスク管理|クラウドセキュリティ,公式ガイドは、セキュリティ基盤運用、ログデータ管理、脅威ハンティング、検知エンジニアリング、インシデント対応、可観測性を扱う。,2026-07-30,,,,
